Date,Open,High,Low,Close,Volume
7/17/2009 16:00:00,252.44,257.91,252.44,257.56,0
7/20/2009 16:00:00,257.56,260.07,257.12,258.39,0
7/21/2009 16:00:00,258.38,261.48,258.29,260.99,0
7/22/2009 16:00:00,260.97,261.48,258.01,261.36,0
7/23/2009 16:00:00,261.34,267.21,260.31,266.74,0
7/24/2009 16:00:00,266.73,267.36,263.89,266.4,0
7/27/2009 16:00:00,266.41,268.04,260.41,261.63,0
7/28/2009 16:00:00,261.63,264,260.24,261.16,0
7/29/2009 16:00:00,261.19,262.95,260.86,262.77,0
7/30/2009 16:00:00,262.77,269.05,262.55,268.84,0
7/31/2009 16:00:00,268.84,269.93,266.71,269.56,0
8/3/2009 16:00:00,269.55,274.11,268.58,273.74,0
8/4/2009 16:00:00,273.73,273.73,268.61,269.41,0
8/5/2009 16:00:00,269.41,272.45,268.11,268.84,0
8/6/2009 16:00:00,268.88,271.4,267.74,269.19,0
8/7/2009 16:00:00,269.19,274.39,266.17,274.01,0
8/10/2009 16:00:00,274.01,274.01,271.17,272.05,0
8/11/2009 16:00:00,272.07,274.45,266.46,266.99,0
8/12/2009 16:00:00,266.98,270.46,265.55,270.25,0
8/13/2009 16:00:00,270.24,276.52,270.24,274.05,0
8/14/2009 16:00:00,274.07,275.6,269.36,270.58,0
8/17/2009 16:00:00,270.57,270.57,264.04,265.39,0
8/18/2009 16:00:00,265.4,270.83,265.4,270.07,0
8/19/2009 16:00:00,270.07,270.07,265.99,269.1,0
8/20/2009 16:00:00,269.12,274.63,269.12,274.06,0
8/21/2009 16:00:00,274.07,282.34,273.46,281.4,0
8/24/2009 16:00:00,281.41,285.05,281.41,284.02,0
8/25/2009 16:00:00,284.01,284.01,280.36,282.44,0
8/26/2009 16:00:00,282.44,284.18,278.33,278.84,0
8/27/2009 16:00:00,278.85,280.5,276.39,278.28,0
8/28/2009 16:00:00,278.3,284.24,278.3,283.27,0
8/31/2009 16:00:00,283.27,283.27,278.13,278.95,0
9/1/2009 16:00:00,278.94,280.8,273.54,274.44,0
9/2/2009 16:00:00,274.44,274.64,268.02,269.58,0
9/3/2009 16:00:00,269.59,274.01,269.42,271.65,0
9/4/2009 16:00:00,271.65,275.97,271.62,275.65,0
9/7/2009 16:00:00,275.66,279.67,275.66,279.67,0
9/8/2009 16:00:00,279.69,281.16,278.97,280.51,0
9/9/2009 16:00:00,280.51,285.3,279.12,285.3,0
9/10/2009 16:00:00,285.32,286.93,282.19,284.06,0
9/11/2009 16:00:00,284.07,285.62,283.65,285.09,0
9/14/2009 16:00:00,285.09,285.09,280.21,284.02,0
9/15/2009 16:00:00,284.03,285.77,282.94,284.01,0
9/16/2009 16:00:00,284.02,287.57,284.02,286,0
9/17/2009 16:00:00,286.01,289.27,286.01,287.39,0
9/18/2009 16:00:00,287.39,287.39,283.06,286.04,0
9/21/2009 16:00:00,286.04,286.05,283.52,284.2,0
9/22/2009 16:00:00,284.2,287.29,284.17,287,0
9/23/2009 16:00:00,287,289.01,286.7,287.39,0
9/24/2009 16:00:00,287.39,287.39,280.8,281.24,0
9/25/2009 16:00:00,281.22,282.75,279.52,280.57,0
9/28/2009 16:00:00,280.57,285.26,277.37,284.45,0
9/29/2009 16:00:00,284.46,285.68,281.91,282.08,0
9/30/2009 16:00:00,282.07,284.63,278.98,280.4,0
10/1/2009 16:00:00,280.4,282.07,274.55,274.86,0
10/2/2009 16:00:00,274.84,274.84,268.88,271.27,0
10/5/2009 16:00:00,271.26,274.85,270.67,273.51,0
