Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2019-05-27,28.25000319794966,28.460824117337342,28.123509359568274,28.16567611694336,41708,0,0,MOB.ST
2019-05-28,28.207838437402472,28.207838437402472,28.039181065812695,28.081344604492188,14687,0,0,MOB.ST
2019-05-29,28.165674898722976,28.165674898722976,27.997017527133202,28.081344604492188,22416,0,0,MOB.ST
2019-05-31,28.03918204551538,28.081345585668085,27.448882832761726,27.95485496520996,48206,0,0,MOB.ST
2019-06-03,27.659703590437857,27.87052450685411,27.448882674021608,27.575376510620117,79045,0,0,MOB.ST
2019-06-04,27.491044998168945,27.82835973626633,27.406717922080475,27.491044998168945,76688,0,0,MOB.ST
2019-06-05,27.491044998168945,27.701865905261872,27.406717922080475,27.491044998168945,35414,0,0,MOB.ST
2019-06-07,27.448882601154203,27.744033813476566,27.448882601154203,27.744033813476562,29156,0,0,MOB.ST
2019-06-11,28.334328672810948,28.376495427795792,28.165674520358593,28.20783805847168,79640,0,0,MOB.ST
2019-06-12,28.29216520176523,28.29216520176523,27.82835984767828,28.039180755615234,53661,0,0,MOB.ST
2019-06-13,28.08134436120155,28.123507899515747,27.78619637613039,27.87052345275879,50397,0,0,MOB.ST
2019-06-14,27.997018580555178,28.081345661087074,27.65970382468375,27.786197662353516,38158,0,0,MOB.ST
2019-06-18,27.617540439786605,28.334330278955957,27.49104660140522,28.16567611694336,126400,0,0,MOB.ST
2019-06-19,28.165674520358593,28.20783805847168,27.91268685793655,28.20783805847168,32433,0,0,MOB.ST
2019-06-20,28.08134436120155,28.207838193015917,27.82835991444459,27.87052345275879,22730,0,0,MOB.ST
2019-06-24,27.828360654665108,28.039181568715602,27.53321266174316,27.533212661743164,40918,0,0,MOB.ST
2019-06-25,27.575375291129166,27.701865905261872,27.322390845992004,27.491044998168945,70049,0,0,MOB.ST
2019-06-26,27.575375291129166,27.6175388291734,27.406717922080475,27.491044998168945,28172,0,0,MOB.ST
2019-06-27,27.6597030394331,27.6597030394331,27.322391510009766,27.322391510009766,40335,0,0,MOB.ST
2019-06-28,27.406719366216137,27.786197662353516,27.36455582595019,27.786197662353516,91973,0,0,MOB.ST
2019-07-01,27.701866490757784,28.587316892760015,27.701866490757784,28.46082305908203,68298,0,0,MOB.ST
2019-07-02,28.37649549506307,28.41865903327611,27.912686924104356,28.039180755615234,63781,0,0,MOB.ST
2019-07-03,27.99701783593549,28.20783874853008,27.912687540774556,28.12350845336914,27299,0,0,MOB.ST
2019-07-04,28.165674587126116,28.165674587126116,27.82835984767828,28.039180755615234,14330,0,0,MOB.ST
2019-07-05,28.165676270842653,28.165676270842653,27.617540590690847,27.82836151123047,23327,0,0,MOB.ST
2019-07-08,27.954854462094914,28.587317203618586,27.82836062704144,28.502986907958984,86923,0,0,MOB.ST
2019-07-09,28.545150683847716,29.09328635112491,28.50298714410452,28.713808059692383,57616,0,0,MOB.ST
2019-07-10,28.62948029299862,28.96679181971942,28.502986459933442,28.798137664794922,86085,0,0,MOB.ST
2019-07-11,28.798137974487325,28.88246505285642,28.460823227267277,28.840301513671875,69939,0,0,MOB.ST
2019-07-12,28.798138444790563,29.346270896884914,28.71380814817243,29.261943817138672,153494,0,0,MOB.ST
2019-07-15,29.2619441256979,29.725749502936715,29.2619441256979,29.304107666015625,55415,0,0,MOB.ST
2019-07-16,29.557091258334196,29.557091258334196,28.840301443329654,29.00895881652832,39429,0,0,MOB.ST
2019-07-17,29.008958575322346,29.21977948584977,28.798137664794922,28.798137664794922,31444,0,0,MOB.ST
2019-07-18,28.798138898155152,29.051123358248464,28.671645059672528,28.966793060302734,23939,0,0,MOB.ST
2019-07-19,28.92462882993941,29.093286204936604,28.840301750876748,29.051122665405273,16903,0,0,MOB.ST
2019-07-22,29.093286898785358,29.093286898785358,28.671645059672528,28.966793060302734,21656,0,0,MOB.ST
2019-07-23,29.051122355610026,29.051122355610026,28.713807609212694,29.00895881652832,25443,0,0,MOB.ST
2019-07-24,29.051122811381713,29.051122811381713,28.713808059692383,28.713808059692383,11715,0,0,MOB.ST
2019-07-25,28.75597090919199,28.924628280988294,28.502986459933442,28.798137664794922,31790,0,0,MOB.ST
2019-07-26,28.88246512413025,28.88246512413025,28.629480671526835,28.67164421081543,17329,0,0,MOB.ST
2019-07-29,28.882465435537046,28.882465435537046,28.587317440462794,28.713808059692383,12497,0,0,MOB.ST
2019-07-30,28.545149825631697,28.6716436579301,28.418659210205075,28.418659210205078,21304,0,0,MOB.ST
2019-07-31,28.50298621943901,28.62948005143689,28.376495604312904,28.587316513061523,8457,0,0,MOB.ST
2019-08-01,28.587317203618586,28.587317203618586,28.250002454723887,28.502986907958984,22710,0,0,MOB.ST
2019-08-02,28.20783874853008,28.460823200269214,28.123508453369144,28.12350845336914,21326,0,0,MOB.ST
2019-08-06,27.828361511230472,28.039182431770097,27.617540590690847,27.82836151123047,35673,0,0,MOB.ST
2019-08-07,27.70186608263022,28.039180822887353,27.617539006001827,27.87052345275879,19467,0,0,MOB.ST
2019-08-08,27.954855350303028,28.039182431770097,27.744034429763403,27.82836151123047,11811,0,0,MOB.ST
2019-08-09,27.828361511230472,28.08134597250363,27.744034429763403,27.82836151123047,21643,0,0,MOB.ST
2019-08-12,27.78619711522938,27.997018029279875,27.53321266174316,27.533212661743164,36905,0,0,MOB.ST
2019-08-13,27.575375291129166,27.6175388291734,27.406717922080475,27.491044998168945,33511,0,0,MOB.ST
2019-08-14,27.491045882463915,27.744033552610592,26.22612200765386,26.81641960144043,101733,0,0,MOB.ST
2019-08-15,26.942912812679523,27.23806079852101,26.732091903686523,26.732091903686523,76216,0,0,MOB.ST
2019-08-16,26.732093063154625,27.533213195449868,26.732093063154625,27.06940460205078,32151,0,0,MOB.ST
2019-08-19,27.448883133112403,27.70186759366877,26.985077752613744,27.28022575378418,28950,0,0,MOB.ST
2019-08-20,27.322392202052917,27.53321311960928,27.238061904907227,27.238061904907227,29381,0,0,MOB.ST
2019-08-21,27.322390845992004,27.53321175308493,27.195897014987548,27.491044998168945,17404,0,0,MOB.ST
2019-08-22,27.36455438403624,27.6175388291734,27.195897014987548,27.491044998168945,37779,0,0,MOB.ST
2019-08-23,27.491046673726473,27.744034351154784,27.28022575378418,27.28022575378418,23384,0,0,MOB.ST
2019-08-26,27.280225677782273,27.786197814357326,27.06940475842732,27.448883056640625,30457,0,0,MOB.ST
2019-08-27,27.659703590437857,27.99701834345262,27.406719134112734,27.575376510620117,32097,0,0,MOB.ST
2019-08-28,27.95485527109708,28.12350943355336,27.28022575378418,27.28022575378418,39747,0,0,MOB.ST
2019-08-29,28.165674587126116,28.545149647915224,27.448881570017402,28.039180755615234,179824,0,0,MOB.ST
2019-08-30,28.039180890978617,28.207838261516752,27.659702611485752,27.701866149902344,36839,0,0,MOB.ST
2019-09-02,27.828359669670466,28.03918057625888,27.448881394436977,27.65970230102539,40419,0,0,MOB.ST
2019-09-03,27.533213203885904,27.95485504028923,27.533213203885904,27.786197662353516,39548,0,0,MOB.ST
2019-09-04,27.78619711522938,27.870524194100838,27.44888236599985,27.533212661743164,48389,0,0,MOB.ST
2019-09-05,27.533212422226285,27.6597030394331,27.280224754069,27.322391510009766,45723,0,0,MOB.ST
2019-09-06,27.28022575378418,27.491046673726473,27.15373513194197,27.28022575378418,30220,0,0,MOB.ST
2019-09-09,27.238060974365702,27.448881884719725,27.111570358276367,27.111570358276367,38646,0,0,MOB.ST
2019-09-10,27.111570427508184,27.111570427508184,26.732092144527545,26.942913055419922,58884,0,0,MOB.ST
2019-09-11,27.02724044358547,27.195897817611694,26.985076904296875,26.985076904296875,31138,0,0,MOB.ST
2019-09-12,26.94291336500828,27.111570739034505,26.858584677995168,26.985076904296875,24478,0,0,MOB.ST
2019-09-13,26.985076904296875,27.1537342783231,26.900748217283763,26.985076904296875,35689,0,0,MOB.ST
2019-09-16,26.94291336500828,27.1537342783231,26.900748217283763,26.985076904296875,35870,0,0,MOB.ST
2019-09-17,26.985076904296875,27.280224896188884,26.94291336500828,26.985076904296875,24435,0,0,MOB.ST
2019-09-18,27.027241061797753,27.23806197993482,26.98507752154472,27.06940460205078,19244,0,0,MOB.ST
2019-09-19,27.195897817611694,27.195897817611694,26.985076904296875,26.985076904296875,24647,0,0,MOB.ST
2019-09-20,26.985077752613744,27.364556051884264,26.942914211999675,27.28022575378418,32956,0,0,MOB.ST
2019-09-23,27.19589843968179,27.322392277312797,27.06940460205078,27.06940460205078,37216,0,0,MOB.ST
2019-09-24,27.069403911925313,27.195897746331404,27.069403911925313,27.15373420715332,21476,0,0,MOB.ST
2019-09-25,27.19589843968179,27.19589843968179,27.06940460205078,27.06940460205078,33112,0,0,MOB.ST
2019-09-26,27.195897817611694,27.322391652349324,26.985076904296875,26.985076904296875,44842,0,0,MOB.ST
2019-09-27,27.06940491053904,27.91268859269754,27.027241369805505,27.82836151123047,78135,0,0,MOB.ST
2019-09-30,27.786197388902167,28.587317513558833,27.36455555664833,28.545150756835938,158481,0,0,MOB.ST
2019-10-01,31.07500221005698,31.58097434636965,30.358212371370612,31.370153427124023,540784,0,0,MOB.ST
2019-10-02,31.37015239915159,31.496643016430816,30.569032288895812,30.695526123046875,106861,0,0,MOB.ST
2019-10-03,30.6533595995875,32.88806257406089,30.6533595995875,32.59291458129883,202469,0,0,MOB.ST
2019-10-04,32.59291292247707,33.141045340691015,32.21343465333099,32.803733825683594,87789,0,0,MOB.ST
